title,channelName,viewCount,likes,date,duration,type,url,commentsCount
Dilli Wali Khau Galli - 2016,Barbeque Nation,1708,3,2016-07-14T05:53:34.000Z,0:00:30,video,https://www.youtube.com/watch?v=rE4N5KJkwwo,0
Barbeque Nation - Udaipur,Barbeque Nation,3853,7,2016-04-11T07:11:02.000Z,0:00:17,video,https://www.youtube.com/watch?v=2EJ4QcftWJU,1
History of Barbeque Nation,Barbeque Nation,9092,118,2017-06-06T10:22:03.000Z,0:03:17,video,https://www.youtube.com/watch?v=y62h1-LJkR4,3
BN - GPTW 2017,Barbeque Nation,234,7,2017-07-03T13:55:35.000Z,0:04:18,video,https://www.youtube.com/watch?v=YZrj6S8rUec,1
10 Year Anniversary Celebrations,Barbeque Nation,3791,39,2016-01-20T05:30:40.000Z,0:08:04,video,https://www.youtube.com/watch?v=1Jaj38dYTdw,1
"Barbeque Nation - KNK Road, Chennai",Barbeque Nation,2341,6,2016-01-18T05:04:42.000Z,0:00:17,video,https://www.youtube.com/watch?v=VXCdH6kPZJM,0
Blue Nation With Barbeque Nation - Get ready to Fire Up The Game!,Barbeque Nation,176,1,2019-07-04T12:39:22.000Z,0:00:15,video,https://www.youtube.com/watch?v=USAp2dO5gLY,0
Blue Nation With Barbeque Nation - Get ready to Fire Up The Game!,Barbeque Nation,104,1,2019-06-03T15:28:21.000Z,0:00:34,video,https://www.youtube.com/watch?v=OpuXSvuIF9w,1
Bollywood Loves Bappi Da & Bappi Da Loves Barbeque Nation - Short Clip 2,Barbeque Nation,1071,6,2015-12-18T07:13:40.000Z,0:00:27,video,https://www.youtube.com/watch?v=UefQYincWH0,0
Barbeque Nation now @ Siliguri,Barbeque Nation,1683,27,2019-06-26T04:08:52.000Z,0:00:28,video,https://www.youtube.com/watch?v=5WsUL5Jsp28,4
Bollywood Loves Bappi Da & Bappi Da Loves Barbeque Nation - Short Clip 1,Barbeque Nation,1258,5,2015-12-17T02:27:33.000Z,0:00:21,video,https://www.youtube.com/watch?v=Fl_Wlg4EjwA,0
Delicious Mutton Seekh kebab and Yummy Chicken drumsticks,Barbeque Nation,138,0,2019-11-04T11:45:26.000Z,0:00:21,video,https://www.youtube.com/watch?v=sVOGJnKzqSU,0
Barbeque Nation coming soon at Ampa mall(Chennai),Barbeque Nation,549,4,2019-11-07T11:45:36.000Z,0:00:14,video,https://www.youtube.com/watch?v=ZDnZ9fJC3vE,0
Barbeque Nation - Nashik,Barbeque Nation,8025,32,2015-11-20T10:46:35.000Z,0:00:22,video,https://www.youtube.com/watch?v=b30m114j1T0,0
Barbeque Nation - Velachery,Barbeque Nation,7222,13,2015-11-24T05:28:44.000Z,0:00:22,video,https://www.youtube.com/watch?v=zO0M7OIa92o,2
