record_id,city_name,branch_id,branch_name,package_name,price,min_pax,max_pax,applicable_days,slot_timings,full_address,terms_summary,scraped_at
61,Bangalore,12,Indiranagar,Friendship Deal(4@2519),₹2519,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 or more • ₹630 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
62,Bangalore,12,Indiranagar,Friendship Deal(4@2549),₹2549,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:30 AM - 11:30 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 or more • ₹637 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
63,Bangalore,12,Indiranagar,Friendship Deal(4@2639),₹2639,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 or more • ₹660 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
64,Bangalore,12,Indiranagar,Friendship Deal(4@2679),₹2679,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:30 AM - 11:45 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 or more • ₹670 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
65,Bangalore,12,Indiranagar,Friendship Deal(4@2699),₹2699,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 or more • ₹675 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
66,Bangalore,12,Indiranagar,Friendship Deal(4@2899),₹2899,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 or more • ₹725 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
67,Bangalore,12,Indiranagar,Friendship Deal(4@2929),₹2929,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:00 AM - 11:00 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 or more • ₹732 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
68,Bangalore,12,Indiranagar,Friendship Deal(4@2949),₹2949,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:00 AM - 11:00 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 or more • ₹737 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
69,Bangalore,12,Indiranagar,Friendship Deal(4@3049),₹3049,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:00 AM - 11:00 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 or more • ₹762 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
70,Bangalore,12,Indiranagar,Friendship Deal(4@3129),₹3129,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 or more • ₹782 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
